compound,n1,n2,n3
longwinded,long,winded,
copywriter,copy,writer,
sportswriter,sport,swriter,
heartbroken,heart,broken,
showman,show,man,
logjam,log,jam,
boardwalk,board,walk,
beeswax,bee,swax,
overeager,over,eager,
toadstool,toad,stool,
turnout,tur,nout,
snowbird,snow,bird,
jukebox,juke,box,
outlaw,out,law,
loudmouth,loud,mouth,
overall,over,all,
fulllength,full,length,
carseat,car,seat,
woodchuck,wood,chuck,
themselves,them,selves,
footwork,foot,work,
pitchdark,pitch,dark,
topflight,top,flight,
freehand,free,hand,
grapevine,grap,evine,
overcast,over,cast,
username,user,name,
overcharge,over,charge,
overseer,over,seer,
boxcutter,box,cutter,
levelheaded,level,headed,
overkill,over,kill,
warship,war,ship,
bullhorn,bull,horn,
sandbar,sand,bar,
seagoing,sea,going,
slipcover,slip,cover,
bucktooth,buck,tooth,
outcome,out,come,
desktop,desk,top,
bulkhead,bulkhead,,
crossword,cross,word,
butterball,butter,ball,
butterfish,butter,fish,
crabgrass,crab,g,rass
signpost,sign,post,
mockup,mock,up,
outfox,out,fox,
horselaugh,horse,laugh,
penknife,pen,k,nife
lifeboat,life,boat,
seaworthy,sea,worthy,
beforehand,before,hand,
typeface,ty,pe,face
highlight,high,light,
brightlylit,brightlylit,,
woodpecker,wood,pecker,
hopscotch,hop,scotch,
earlobe,ear,lobe,
rainbow,rain,bow,
trustworthy,trust,worthy,
oneself,one,self,
raindrops,raind,rops,
downscale,down,scale,
accidentprone,accident,prone,
southeast,sout,heast,
wellwritten,well,written,
foodbank,food,bank,
voltmeter,volt,meter,
lefthanded,left,handed,
milepost,mile,post,
bareknuckle,bare,k,nuckle
meatball,meat,ball,
sawdust,saw,dust,
overrate,over,rate,
tablecloth,table,cloth,
myself,my,self,
piggyback,piggy,back,
fanfare,fan,fare,
newsletter,new,sletter,
wellknown,wellk,nown,
goodlooking,good,looking,
cartwheel,cart,wheel,
newsstand,new,sstand,
byebye,bye,bye,
barefoot,bare,foot,
moonlight,moon,light,
larkspur,lark,spur,
icecold,ice,cold,
birthday,birth,day,
pullover,pul,lover,
twentythree,twenty,three,
bobcat,bob,cat,
funeralhome,funer,alhome,
airbladder,air,bladder,
matchmaker,match,maker,
potholder,pot,holder,
buyout,buy,out,
anymore,any,more,
nobleman,noble,man,
outlast,out,last,
lighthouse,light,house,
fishtail,fish,tail,
overhear,over,hear,
notebook,note,book,
landslide,land,slide,
teammate,team,mate,
whereby,where,by,
potpie,pot,pie,
lightbrown,light,brown,
turnstile,turn,stile,
lionking,lion,king,
breakdance,break,dance,
goldenrod,gol,denrod,
checkerboard,checker,board,
bookworm,book,worm,
hunchback,hunch,back,
waterproof,water,proof,
coversong,cover,song,
overstretched,over,stretched,
piecrust,pie,crust,
laserprinter,laser,printer,
sandpaper,sand,paper,
greencard,green,card,
butternut,butter,nut,
birthplace,birth,place,
grandstand,grand,stand,
downplay,down,play,
outbreak,out,break,
corkscrew,cork,screw,
jaywalker,jay,walker,
staircase,stair,case,
woodcutter,wood,cutter,
sidewalk,side,walk,
showcase,show,case,
seashell,sea,shell,
breakwater,break,water,
riverside,river,side,
mainland,main,land,
stockoption,stock,option,
background,back,ground,
everyday,every,day,
passionfruit,passion,fruit,
uplift,up,lift,
wellbeing,well,being,
humdrum,hum,drum,
lookout,look,out,
seawall,sea,wall,
landform,land,form,
cornfield,corn,field,
sightseeing,sight,seeing,
bathhouse,bath,house,
toothbrush,tooth,brush,
topcoat,top,coat,
rosegold,rose,gold,
halfhearted,half,hearted,
hillside,hill,side,
dishwater,dish,water,
bisexual,bi,sexual,
witchweed,witch,weed,
shoestring,shoe,string,
childfree,child,free,
overexposed,over,ex,posed
kickoff,kick,off,
daybreak,day,break,
middleweight,middle,weight,
bookshelf,book,shelf,
icecream,ice,cream,
eggplant,egg,plant,
barhop,bar,hop,
childproof,child,proof,
footstep,foot,step,
standby,stand,by,
rainstorm,rain,storm,
crossbow,cross,bow,
outcropping,out,cropping,
doortodoor,door,todoor,
cornstalk,corn,stalk,
hotline,hot,line,
tearjerker,tear,jerker,
yearround,ye,arround,
passkey,passk,ey,
downsize,down,size,
legwork,leg,work,
nosedive,nose,dive,
lowland,low,land,
buyoff,buy,off,
timesaver,time,saver,
lifeanddeath,life,and,death
downdraft,down,draft,
spotlight,spot,light,
goldsmith,gold,smith,
fishcake,fish,cake,
applesauce,apple,sauce,
upbringing,up,bringing,
outskirts,out,skirts,
bedspread,bed,spread,
bornagain,born,again,
bluegrass,blue,grass,
tombstone,tomb,stone,
homework,home,work,
someone,some,one,
underachiever,under,achiever,
handmade,hand,made,
underdone,under,done,
superintendent,super,int,endent
grandfather,grand,father,
hangnail,hang,nail,
overlay,over,lay,
goalkeeper,goal,keeper,
underarm,un,derarm,
breadknife,bread,knife,
withhold,with,hold,
businessman,business,man,
africanamerican,africana,merican,
safeguard,safeg,uard,
widescreen,wide,screen,
newsworthy,new,sworthy,
legroom,leg,room,
highwater,high,water,
laptop,lap,top,
brushwork,brush,work,
highwayman,high,wayman,
timetable,time,table,
outpatient,out,patient,
limegreen,lime,green,
birdseed,bird,seed,
hairdresser,hair,dresser,
keyhole,key,hole,
homecoming,home,coming,
superhighway,super,high,way
yardarm,yardarm,,
buttonwood,button,wood,
lengthwise,length,wise,
cornerstone,corner,stone,
dogfish,dog,fish,
offshore,off,shore,
horseradish,horser,adish,
headrest,head,rest,
halfwit,half,wit,
midrange,mid,range,
downstairs,down,stairs,
runoff,run,off,
homebound,home,bound,
outgas,out,gas,
laserfocus,laser,focus,
airplay,air,play,
worldseries,world,series,
wingspread,wing,spread,
upstanding,up,standing,
quartermaster,quarter,master,
bluetongue,blue,tongue,
downlink,down,link,
airline,air,line,
eggshell,egg,shell,
foresee,fore,see,
stairway,stair,way,
gunfire,gun,fire,
moonstruck,moon,struck,
hayloft,hay,loft,
earshot,ear,shot,
foghorn,fog,horn,
playroom,play,room,
workbook,work,book,
openminded,open,minded,
bathroom,bath,room,
headhunter,head,hunter,
bigfoot,big,foot,
shoelace,shoe,lace,
overact,over,act,
selfesteem,sel,festeem,
scrapbook,scrap,book,
firewood,fire,wood,
something,somet,hing,
standpipe,stand,pipe,
shortbread,short,bread,
pipedream,pipe,dream,
polestar,pole,star,
hardtop,hard,top,
mudstone,mud,stone,
riverbed,river,bed,
goodnight,good,night,
soapstone,soap,stone,
tumbleweed,tumble,weed,
taxidriver,taxid,river,
fireboat,fire,boat,
headspin,head,spin,
foxhole,fox,hole,
